,total_return,cagr,sharpe_ratio,sortino_ratio,max_drawdown,volatility,final_value,num_trades,cash_held,num_dip_buys,avg_dip_size
Trim@+50% (dip-buy-5pct),2.5118472562819556,0.1183499688501759,0.8790533834900008,1.2184989543804348,-0.14082049673355065,0.13817017161191786,351184.72562819556,13.0,0.0,13.0,0.07672110266116967
Trim@+50% (spy),2.4215222912165975,0.11575814119167283,1.0312213969249548,1.794175959616985,-0.1389667910370239,0.11239627414865029,342152.22912165977,13.0,0.0,,
Trim@+150% (dip-buy-5pct),2.3864632338514666,0.1147353182058608,0.8677003740722037,1.3395171810036353,-0.15078719306848398,0.13587714954082458,338646.3233851467,5.0,0.0,5.0,0.06723797747636799
Trim@+150% (spy),2.3639301526656262,0.11407282734623037,0.9437786379183767,1.645981162820418,-0.13885242658009975,0.12245865205481339,336393.01526656264,5.0,0.0,,
Trim@+50% (pro-rata),2.343759510639187,0.11347635616370888,0.9579676887560133,1.6519351446635064,-0.13142141571537774,0.11974333217333132,334375.9510639187,13.0,0.0,,
Trim@+100% (dip-buy-5pct),2.342053411779945,0.11342575445132841,0.851834648522933,1.2971615445941513,-0.13832700797675473,0.13724049296432525,334205.3411779945,7.0,0.0,7.0,0.07320312388961454
Trim@+150% (pro-rata),2.3233944733558443,0.11287080191634047,0.888255443180335,1.5341303017775898,-0.15186621638268202,0.12996366988199934,332339.44733558444,5.0,0.0,,
Buy-and-Hold,2.3077162134396367,0.11240230168512233,0.8372601139302933,1.4425581776122471,-0.16736537260109455,0.13879216535146793,330771.62134396366,0.0,0.0,,
Trim@+100% (spy),2.2742416388869002,0.11139520068510489,0.9321294440316251,1.6301573023993094,-0.141337445481647,0.12124743740565375,327424.16388869,7.0,0.0,,
Trim@+100% (pro-rata),2.2493916046750186,0.11064148965883014,0.8667620923880205,1.501820567718625,-0.15725213127602716,0.13103180274727158,324939.16046750185,7.0,0.0,,
Trim@+150% (cash),1.9869564924150884,0.1023441510660772,0.6408866265492581,0.9365805535334862,-0.1603876849471319,0.10237097384444757,298695.64924150886,5.0,51712.035771761664,,
Trim@+100% (cash),1.8629350404975105,0.09818929827486311,0.5401187071859842,0.7745564929868505,-0.12121816186285775,0.09483066144869534,286293.50404975103,7.0,69470.57095838214,,
Trim@+50% (cash),1.5817350125409533,0.08812568004260579,0.37202185333260074,0.4757314194730607,-0.09818068521310826,0.07638629332252445,258173.50125409532,13.0,93934.23129991017,,
